127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.024000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-01-31 17:43:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.108000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.148000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.188000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.216000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.028000
127.0.0.1, 2017-01-31 17:43:10, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.210000
127.0.0.1, 2017-01-31 17:43:10, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.364000
127.0.0.1, 2017-01-31 17:44:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.089000
127.0.0.1, 2017-01-31 17:44:11, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 1.449000
127.0.0.1, 2017-01-31 17:45:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.132000
127.0.0.1, 2017-01-31 17:45:12, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 1.493000
127.0.0.1, 2017-01-31 17:46:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.044000
127.0.0.1, 2017-01-31 17:46:11, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 1.410000
127.0.0.1, 2017-01-31 18:48:13, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.016000
127.0.0.1, 2017-01-31 18:48:13, GET, /admin/default/index.load, HTTP/1.1, 404, 0.058000
127.0.0.1, 2017-01-31 18:48:13, GET, /myapp/appadmin/hooks, HTTP/1.1, 303, 0.380000
127.0.0.1, 2017-01-31 18:48:13, GET, /admin/default/index, HTTP/1.1, 200, 0.095000
127.0.0.1, 2017-01-31 18:48:14, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.024000
127.0.0.1, 2017-01-31 18:48:14, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.040000
127.0.0.1, 2017-01-31 18:48:14, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.052000
127.0.0.1, 2017-01-31 18:48:14, GET, /admin/default/index, HTTP/1.1, 200, 0.088000
127.0.0.1, 2017-01-31 18:48:14, GET, /admin/default/index, HTTP/1.1, 200, 0.148000
127.0.0.1, 2017-01-31 18:48:14, GET, /admin/default/index.load, HTTP/1.1, 404, 0.208000
127.0.0.1, 2017-01-31 18:48:14, GET, /myapp/appadmin/hooks, HTTP/1.1, 303, 0.324000
127.0.0.1, 2017-01-31 18:48:15, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.020000
127.0.0.1, 2017-01-31 18:48:15, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.035000
127.0.0.1, 2017-01-31 18:48:15, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.044000
127.0.0.1, 2017-01-31 18:48:15, GET, /admin/default/index, HTTP/1.1, 200, 0.200000
127.0.0.1, 2017-01-31 18:48:15, GET, /myapp/appadmin/hooks, HTTP/1.1, 303, 0.519000
